Wall time,Step,Value
1620101974.818237,1,4.619626998901367
1620101977.54119,2,3.463855743408203
1620101980.3490791,3,3.1985621452331543
1620101983.1248019,4,3.10603404045105
1620101985.867751,5,3.078773260116577
1620101988.612812,6,3.069236993789673
1620101991.352579,7,3.0631473064422607
1620101993.8473375,8,3.0606906414031982
1620101996.5556343,9,3.0596585273742676
1620101999.080647,10,3.058452606201172
1620102001.7897332,11,3.057999610900879
1620102004.3106608,12,3.0581893920898438
1620102006.8370466,13,3.0568952560424805
1620102009.5517814,14,3.056089401245117
1620102012.2755487,15,3.0556952953338623
1620102014.8075182,16,3.0549726486206055
1620102017.3290317,17,3.0543041229248047
1620102020.0397484,18,3.05411696434021
1620102022.783047,19,3.052764654159546
1620102025.3103783,20,3.052940607070923
1620102027.790802,21,3.052881956100464
1620102030.319469,22,3.052098512649536
1620102032.8193026,23,3.0517239570617676
1620102035.3044722,24,3.0518295764923096
1620102038.0336673,25,3.0506997108459473
1620102040.7761693,26,3.0497355461120605
1620102043.2829514,27,3.0502169132232666
1620102045.7859638,28,3.0493173599243164
1620102048.3112566,29,3.048898935317993
1620102051.0465617,30,3.0484368801116943
1620102053.5839157,31,3.0485501289367676
1620102056.294931,32,3.0482964515686035
1620102058.8187513,33,3.0476934909820557
1620102061.322768,34,3.0470902919769287
1620102064.0493877,35,3.0464537143707275
1620102066.5994852,36,3.0465378761291504
1620102069.0786898,37,3.0459775924682617
1620102071.567344,38,3.045856475830078
1620102074.078217,39,3.0457284450531006
1620102076.7729945,40,3.045531988143921
1620102079.2907712,41,3.0449540615081787
1620102081.798313,42,3.044954299926758
1620102084.5132003,43,3.044670820236206
1620102087.0416374,44,3.044672966003418
1620102089.7732692,45,3.043736696243286
1620102092.2643933,46,3.0440866947174072
1620102094.754834,47,3.0436737537384033
1620102097.2618003,48,3.0434165000915527
1620102099.7596967,49,3.04331374168396
1620102102.2419436,50,3.0430166721343994
1620102104.7346473,51,3.043214797973633
1620102107.2430649,52,3.043473958969116
1620102109.9986897,53,3.0428428649902344
1620102112.5172424,54,3.042849540710449
1620102115.0213978,55,3.042395830154419
1620102117.5260637,56,3.042181968688965
1620102120.0117445,57,3.0417840480804443
1620102122.5293996,58,3.042189836502075
1620102125.0585346,59,3.0420894622802734
1620102127.6049738,60,3.04166579246521
1620102130.107643,61,3.041487455368042
1620102132.619686,62,3.041158437728882
1620102135.114532,63,3.0409257411956787
1620102137.84533,64,3.0410726070404053
1620102140.3513122,65,3.040839433670044
1620102142.8612084,66,3.0410656929016113
1620102145.3358567,67,3.0412118434906006
1620102148.0647109,68,3.0410513877868652
1620102150.8411036,69,3.040886402130127
1620102153.4097006,70,3.040872097015381
1620102155.8873813,71,3.0405030250549316
1620102158.3693647,72,3.0404458045959473
1620102161.0476623,73,3.0405657291412354
1620102163.5656703,74,3.0399417877197266
1620102166.0361412,75,3.040240526199341
1620102168.5465682,76,3.0398197174072266
1620102171.0280392,77,3.0401358604431152
1620102173.5195823,78,3.0398480892181396
1620102176.0286515,79,3.0402700901031494
1620102178.471688,80,3.039555311203003
1620102180.9365745,81,3.0394372940063477
1620102183.4104924,82,3.039316177368164
1620102185.895916,83,3.039372444152832
1620102188.4063606,84,3.039398670196533
1620102190.8910038,85,3.0388572216033936
1620102193.3411167,86,3.038966655731201
1620102195.8209636,87,3.0390424728393555
1620102198.3132808,88,3.0390665531158447
1620102200.83825,89,3.038806915283203
1620102203.3332193,90,3.0386290550231934
1620102205.8157642,91,3.0387697219848633
1620102208.5436318,92,3.0388455390930176
1620102211.2648432,93,3.0383803844451904
1620102213.7799907,94,3.0383622646331787
1620102216.2938473,95,3.038616180419922
1620102218.983627,96,3.038440704345703
1620102221.5069208,97,3.0381805896759033
1620102224.4776561,98,3.038499593734741
1620102227.1376164,99,3.0380477905273438
1620102229.6227005,100,3.0380802154541016
