,note,beat,beat_strength
0,"['C4', 'G4', 'G4', 'F4', 'G4', 'A-4', 'G4', 'F4', 'D4', 'E-4', 'F4', 'D4', 'G4', 'F4', 'E-4', 'D4', 'C4', 'D4', 'E-4', 'C4', 'G4', 'G4', 'F4', 'G4', 'A-4', 'G4', 'F4', 'D4', 'E-4', 'F4', 'D4', 'G4', 'F4', 'E-4', 'D4', 'C4', 'D4', 'E-4', 'C4', 'C4', 'G4', 'G4', 'F4', 'G4', 'A-4', 'G4', 'F4', 'D4', 'E-4', 'F4', 'D4', 'G4', 'F4', 'E-4', 'D4', 'C4', 'D4', 'E-4', 'C4', 'G4', 'G4', 'F4', 'G4', 'A-4', 'G4', 'F4', 'D4', 'E-4', 'F4', 'D4', 'G4', 'F4', 'E-4', 'D4', 'C4', 'D4', 'E-4', 'C4', 'C4', 'C4', 'C4', 'D4', 'D4', 'D4', 'C4', 'C4', 'C4', 'D4', 'E-4', 'F4', 'D4', 'G4', 'F4', 'E-4', 'D4', 'C4', 'D4', 'E-4', 'D4', 'C4', 'C4', 'C4', 'D4', 'D4', 'D4', 'C4', 'C4', 'C4', 'D4', 'E-4', 'F4', 'D4', 'G4', 'F4', 'E-4', 'D4', 'C4', 'D4', 'E-4', 'C4', 'C4', 'C4', 'C4', 'D4', 'D4', 'D4', 'C4', 'C4', 'C4', 'D4', 'E-4', 'F4', 'D4', 'G4', 'F4', 'E-4', 'D4', 'C4', 'D4', 'E-4', 'D4', 'C4', 'C4', 'C4', 'D4', 'D4', 'D4', 'C4', 'C4', 'C4', 'D4', 'E-4', 'F4', 'D4', 'G4', 'F4', 'E-4', 'D4', 'C4', 'D4', 'E-4', 'C4', 'C4', 'E-4', 'F4', 'G4', 'F4', 'G4', 'B-4', 'C5', 'C5', 'B-4', 'A-4', 'G4', 'F4', 'D4', 'F4', 'E-4', 'D4', 'C4', 'E-4', 'F4', 'G4', 'F4', 'G4', 'B-4', 'C5', 'C5', 'B-4', 'A-4', 'G4', 'E-4', 'D4', 'E-4', 'C4', 'C4', 'E-4', 'F4', 'G4', 'F4', 'G4', 'B-4', 'C5', 'C5', 'B-4', 'A-4', 'G4', 'F4', 'D4', 'F4', 'E-4', 'D4', 'C4', 'E-4', 'F4', 'G4', 'F4', 'G4', 'B-4', 'C5', 'C5', 'B-4', 'A-4', 'G4', 'E-4', 'D4', 'E-4', 'C4', 'G4', 'A-4', 'G4', 'F4', 'D4', 'D4', 'F4', 'D4', 'D4', 'F4', 'G4', 'E-4', 'G4', 'A-4', 'G4', 'F4', 'D4', 'D4', 'F4', 'G4', 'B-4', 'G4', 'F4', 'G4', 'A-4', 'G4', 'F4', 'D4', 'D4', 'F4', 'D4', 'D4', 'F4', 'G4', 'E-4', 'G4', 'A-4', 'G4', 'F4', 'D4', 'D4', 'F4', 'G4', 'F4', 'E-4', 'D4', 'C4', 'G4', 'A-4', 'G4', 'F4', 'D4', 'D4', 'F4', 'D4', 'D4', 'F4', 'G4', 'E-4', 'G4', 'A-4', 'G4', 'F4', 'D4', 'D4', 'F4', 'G4', 'B-4', 'G4', 'F4', 'G4', 'A-4', 'G4', 'F4', 'D4', 'D4', 'F4', 'D4', 'D4', 'F4', 'G4', 'E-4', 'G4', 'A-4', 'G4', 'F4', 'D4', 'D4', 'F4', 'G4', 'F4', 'E-4', 'D4', 'C4']","['1.0', '1.5', '2.0', '2.5', '3.0', '3.5', '4.0', '4.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '3.0', '1.0', '2.0', '3.0', '1.0', '2.0', '3.0', '1.0', '2.0', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '3.0', '1.0', '2.0', '3.0', '1.0', '2.0', '3.0', '1.0', '2.0', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '3.0', '1.0', '2.0', '3.0', '1.0', '2.0', '3.0', '1.0', '2.0', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '3.0', '1.0', '2.0', '3.0', '1.0', '2.0', '3.0', '1.0', '2.0', '1.0', '1.5', '1.0', '1.5', '1.0', '1.25', '1.0', '1.5', '1.0', '1.5', '1.0', '1.5', '1.0', '1.25', '1.0', '1.5', '1.0', '1.5', '1.0', '1.0', '1.0', '1.0', '1.5', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.5', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.5', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.5', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.5', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.5', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.5', '2.0', '2.5', '1.0', '1.5', '2.0', '2.5', '1.0', '1.5', '2.0', '2.5', '1.0', '2.0', '3.0', '1.0', '2.0', '3.0', '1.0', '2.0', '3.0', '1.0', '2.0', '1.0', '1.5', '2.0', '2.5', '1.0', '1.5', '2.0', '2.5', '1.0', '1.5', '2.0', '2.5', '1.0', '1.5', '2.0', '2.5', '1.0', '1.5', '2.0', '2.5', '1.0', '1.5', '2.0', '2.5', '1.0', '1.5', '2.0', '2.5', '1.0', '1.5', '2.0', '2.5', '1.0', '1.5', '2.0', '2.5', '1.0', '2.0', '3.0', '1.0', '2.0', '3.0', '1.0', '2.0', '3.0', '1.0', '2.0', '1.0', '1.5', '2.0', '2.5', '1.0', '1.5', '2.0', '2.5', '3.0', '3.5', '4.0', '4.5', '1.0', '1.5', '2.0', '2.5']","[1.0, 0.125, 0.25, 0.125, 0.5, 0.125, 0.25, 0.125, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.25, 0.5, 1.0, 0.5, 0.5, 1.0, 0.5, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.25, 0.5, 1.0, 0.5, 0.5, 1.0, 0.5, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.25, 0.5, 1.0, 0.5, 0.5, 1.0, 0.5, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.25, 0.5, 1.0, 0.5, 0.5, 1.0, 0.5, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.25, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.25, 1.0, 0.5, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.25, 0.5, 0.25, 1.0, 0.25, 0.5, 0.25, 1.0, 0.25, 0.5, 0.25, 1.0, 0.5, 0.5, 1.0, 0.5, 0.5, 1.0, 0.5, 0.5, 1.0, 0.5, 1.0, 0.25, 0.5, 0.25, 1.0, 0.25, 0.5, 0.25, 1.0, 0.25, 0.5, 0.25, 1.0, 0.25, 0.5, 0.25, 1.0, 0.25, 0.5, 0.25, 1.0, 0.25, 0.5, 0.25, 1.0, 0.25, 0.5, 0.25, 1.0, 0.25, 0.5, 0.25, 1.0, 0.25, 0.5, 0.25, 1.0, 0.5, 0.5, 1.0, 0.5, 0.5, 1.0, 0.5, 0.5, 1.0, 0.5, 1.0, 0.25, 0.5, 0.25, 1.0, 0.125, 0.25, 0.125, 0.5, 0.125, 0.25, 0.125, 1.0, 0.25, 0.5, 0.25]"
1,"['G4', 'F5', 'E5', 'C5', 'G4', 'E4', 'F4', 'F4', 'A4', 'G4', 'E4', 'E4', 'E4', 'E4', 'D4', 'E4', 'C4', 'E4', 'E5', 'C5', 'G4', 'E4', 'F4', 'F4', 'A4', 'G4', 'C5', 'B4', 'C5', 'D5', 'C5', 'G4', 'F5', 'E5', 'C5', 'G4', 'E4', 'F4', 'F4', 'A4', 'G4', 'E4', 'E4', 'E4', 'E4', 'D4', 'E4', 'C4', 'E4', 'E5', 'C5', 'G4', 'E4', 'F4', 'F4', 'A4', 'G4', 'C5', 'B4', 'C5', 'D5', 'C5', 'B4', 'C5', 'A4', 'G4', 'E5', 'G4', 'F5', 'G4', 'E5', 'G4', 'G4', 'E5', 'G4', 'F5', 'D5', 'B4', 'C5', 'A4', 'G4', 'E5', 'G4', 'F5', 'G4', 'E5', 'G4', 'F5', 'D5', 'B4', 'C5', 'A4', 'F5', 'D5', 'C5', 'B4', 'A4', 'G4', 'E5', 'G4', 'F5', 'G4', 'E5', 'G4', 'G4', 'E5', 'G4', 'F5', 'D5', 'B4', 'D5', 'F5', 'G5', 'A5', 'G4', 'G5', 'G4', 'F5', 'G4', 'D5', 'C5', 'B4', 'C5']","['1.5', '2.0', '2.5', '3.0', '3.5', '4.0', '4.5', '1.0', '1.5', '2.0', '2.5', '3.0', '3.5', '4.0', '4.5', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.5', '2.0', '2.5', '3.0', '3.5', '4.0', '4.5', '1.0', '1.5', '2.0', '2.5', '3.0', '3.5', '4.0', '1.0', '1.5', '1.75', '2.5', '3.0', '3.5', '1.0', '1.5', '2.0', '2.5', '3.0', '3.5', '4.0', '4.5']","[0.125, 0.25, 0.125, 0.5, 0.125, 0.25, 0.125, 1.0, 0.125, 0.25, 0.125, 0.5, 0.125, 0.25, 0.125, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.125, 0.25, 0.125, 0.5, 0.125, 0.25, 0.125, 1.0, 0.125, 0.25, 0.125, 0.5, 0.125, 0.25, 1.0, 0.125, 0.0625, 0.125, 0.5, 0.125, 1.0, 0.125, 0.25, 0.125, 0.5, 0.125, 0.25, 0.125]"
2,"['B-4', 'G4', 'C5', 'C5', 'G4', 'C5', 'C5', 'D5', 'C5', 'D5', 'B-4', 'D5', 'F5', 'G5', 'G5', 'F5', 'D5', 'F5', 'D5', 'C5', 'D5', 'C5', 'B-4', 'G4', 'F4', 'G4', 'C5', 'D5', 'E-5', 'D5', 'C5', 'D5', 'B-4', 'F5', 'G5', 'G5', 'F5', 'D5', 'F5', 'D5', 'C5', 'C5', 'B-4', 'G4', 'C5', 'C5', 'G4', 'C5', 'C5', 'D5', 'C5', 'D5', 'B-4', 'D5', 'F5', 'G5', 'G5', 'F5', 'D5', 'F5', 'D5', 'C5', 'D5', 'C5', 'B-4', 'G4', 'F4', 'G4', 'C5', 'D5', 'E-5', 'D5', 'C5', 'D5', 'B-4', 'F5', 'G5', 'G5', 'F5', 'D5', 'F5', 'D5', 'C5', 'C5', 'D5', 'F5', 'G5', 'A5', 'B-5', 'B-5', 'C6', 'B-5', 'G5', 'G5', 'F5', 'D5', 'F5', 'G5', 'A5', 'B-5', 'B-5', 'C6', 'B-5', 'G5', 'C6', 'B-5', 'G5', 'F5', 'G5', 'A5', 'B-5', 'B-5', 'C6', 'B-5', 'G5', 'G5', 'F5', 'D5', 'G5', 'G5', 'F5', 'D5', 'F5', 'D5', 'C5', 'C5', 'D5', 'F5', 'G5', 'A5', 'B-5', 'B-5', 'C6', 'B-5', 'G5', 'G5', 'F5', 'D5', 'F5', 'G5', 'A5', 'B-5', 'B-5', 'C6', 'B-5', 'G5', 'C6', 'B-5', 'G5', 'F5', 'G5', 'A5', 'B-5', 'B-5', 'C6', 'B-5', 'G5', 'G5', 'F5', 'D5', 'G5', 'G5', 'F5', 'D5', 'F5', 'D5', 'C5', 'C5']","['1.0', '4/3', '5/3', '2.0', '7/3', '8/3', '1.0', '4/3', '5/3', '2.0', '7/3', '8/3', '1.0', '7/6', '5/3', '2.0', '1.0', '4/3', '5/3', '2.0', '7/3', '8/3', '1.0', '4/3', '5/3', '2.0', '7/3', '8/3', '1.0', '4/3', '5/3', '2.0', '7/3', '1.0', '7/6', '5/3', '2.0', '1.0', '4/3', '5/3', '2.0', '7/3', '1.0', '4/3', '5/3', '2.0', '7/3', '8/3', '1.0', '4/3', '5/3', '2.0', '7/3', '8/3', '1.0', '7/6', '5/3', '2.0', '1.0', '4/3', '5/3', '2.0', '7/3', '8/3', '1.0', '4/3', '5/3', '2.0', '7/3', '8/3', '1.0', '4/3', '5/3', '2.0', '7/3', '1.0', '7/6', '5/3', '2.0', '1.0', '4/3', '5/3', '2.0', '7/3', '1.0', '4/3', '5/3', '2.0', '7/3', '1.0', '4/3', '5/3', '2.0', '7/3', '8/3', '1.0', '4/3', '5/3', '2.0', '7/3', '1.0', '4/3', '5/3', '2.0', '7/3', '8/3', '1.0', '4/3', '5/3', '2.0', '7/3', '1.0', '4/3', '5/3', '2.0', '7/3', '8/3', '1.0', '7/6', '5/3', '2.0', '1.0', '4/3', '5/3', '2.0', '7/3', '1.0', '4/3', '5/3', '2.0', '7/3', '1.0', '4/3', '5/3', '2.0', '7/3', '8/3', '1.0', '4/3', '5/3', '2.0', '7/3', '1.0', '4/3', '5/3', '2.0', '7/3', '8/3', '1.0', '4/3', '5/3', '2.0', '7/3', '1.0', '4/3', '5/3', '2.0', '7/3', '8/3', '1.0', '7/6', '5/3', '2.0', '1.0', '4/3', '5/3', '2.0', '7/3']","[1.0, 0.25, 0.25, 0.5, 0.25, 0.25, 1.0, 0.25, 0.25, 0.5, 0.25, 0.25, 1.0, 0.125, 0.25, 0.5, 1.0, 0.25, 0.25, 0.5, 0.25, 0.25, 1.0, 0.25, 0.25, 0.5, 0.25, 0.25, 1.0, 0.25, 0.25, 0.5, 0.25, 1.0, 0.125, 0.25, 0.5, 1.0, 0.25, 0.25, 0.5, 0.25, 1.0, 0.25, 0.25, 0.5, 0.25, 0.25, 1.0, 0.25, 0.25, 0.5, 0.25, 0.25, 1.0, 0.125, 0.25, 0.5, 1.0, 0.25, 0.25, 0.5, 0.25, 0.25, 1.0, 0.25, 0.25, 0.5, 0.25, 0.25, 1.0, 0.25, 0.25, 0.5, 0.25, 1.0, 0.125, 0.25, 0.5, 1.0, 0.25, 0.25, 0.5, 0.25, 1.0, 0.25, 0.25, 0.5, 0.25, 1.0, 0.25, 0.25, 0.5, 0.25, 0.25, 1.0, 0.25, 0.25, 0.5, 0.25, 1.0, 0.25, 0.25, 0.5, 0.25, 0.25, 1.0, 0.25, 0.25, 0.5, 0.25, 1.0, 0.25, 0.25, 0.5, 0.25, 0.25, 1.0, 0.125, 0.25, 0.5, 1.0, 0.25, 0.25, 0.5, 0.25, 1.0, 0.25, 0.25, 0.5, 0.25, 1.0, 0.25, 0.25, 0.5, 0.25, 0.25, 1.0, 0.25, 0.25, 0.5, 0.25, 1.0, 0.25, 0.25, 0.5, 0.25, 0.25, 1.0, 0.25, 0.25, 0.5, 0.25, 1.0, 0.25, 0.25, 0.5, 0.25, 0.25, 1.0, 0.125, 0.25, 0.5, 1.0, 0.25, 0.25, 0.5, 0.25]"
3,"['C5', 'C5', 'B-4', 'G4', 'B-4', 'B-4', 'C5', 'B-4', 'B-4', 'C5', 'A-4', 'G4', 'F4', 'F4', 'C5', 'C5', 'B-4', 'G4', 'D5', 'D5', 'E-5', 'D5', 'D5', 'C5', 'B-4', 'C5', 'G4', 'G4', 'G4', 'C5', 'C5', 'B-4', 'G4', 'B-4', 'B-4', 'C5', 'B-4', 'B-4', 'C5', 'A-4', 'G4', 'F4', 'F4', 'C5', 'C5', 'B-4', 'G4', 'D5', 'G4', 'B-4', 'C5', 'D5', 'F4', 'B-4', 'C5', 'C5', 'G4', 'C5', 'D5', 'E-5', 'D5', 'C5', 'A-4', 'E-5', 'D5', 'E-5', 'D5', 'C5', 'F4', 'D5', 'C5', 'D5', 'C5', 'B-4', 'G4', 'D5', 'C5', 'D5', 'G4', 'C5', 'D5', 'E-5', 'D5', 'C5', 'G4', 'B-4', 'G4', 'E-5', 'G4', 'B-4', 'F4', 'B-4', 'C5', 'D5', 'C5', 'B-4', 'C5', 'G4', 'C5', 'D5', 'E-5', 'D5', 'C5', 'A-4', 'E-5', 'D5', 'E-5', 'D5', 'C5', 'F4', 'D5', 'C5', 'D5', 'C5', 'B-4', 'G4', 'D5', 'C5', 'D5', 'G4', 'C5', 'D5', 'E-5', 'D5', 'C5', 'G4', 'B-4', 'G4', 'E-5', 'G4', 'B-4', 'F4', 'B-4', 'C5', 'D5', 'C5', 'B-4', 'D5', 'D5', 'E-5', 'D5']","['5/3', '2.0', '7/3', '8/3', '1.0', '4/3', '5/3', '1.0', '4/3', '5/3', '1.0', '4/3', '5/3', '11/6', '1.0', '4/3', '5/3', '2.0', '1.0', '4/3', '5/3', '1.0', '4/3', '5/3', '2.0', '1.0', '4/3', '5/3', '2.0', '1.0', '4/3', '5/3', '2.0', '1.0', '4/3', '5/3', '1.0', '4/3', '5/3', '1.0', '4/3', '5/3', '11/6', '1.0', '4/3', '5/3', '2.0', '1.0', '4/3', '5/3', '2.0', '1.0', '4/3', '5/3', '2.0', '1.0', '1.0', '4/3', '5/3', '2.0', '7/3', '8/3', '1.0', '4/3', '5/3', '2.0', '7/3', '8/3', '1.0', '4/3', '5/3', '2.0', '7/3', '8/3', '1.0', '4/3', '5/3', '11/6', '1.0', '4/3', '5/3', '2.0', '7/3', '8/3', '1.0', '4/3', '5/3', '2.0', '7/3', '8/3', '1.0', '4/3', '5/3', '2.0', '7/3', '8/3', '1.0', '1.0', '4/3', '5/3', '2.0', '7/3', '8/3', '1.0', '4/3', '5/3', '2.0', '7/3', '8/3', '1.0', '4/3', '5/3', '2.0', '7/3', '8/3', '1.0', '4/3', '5/3', '11/6', '1.0', '4/3', '5/3', '2.0', '7/3', '8/3', '1.0', '4/3', '5/3', '2.0', '7/3', '8/3', '1.0', '4/3', '5/3', '2.0', '7/3', '8/3', '1.0', '4/3', '5/3', '2.0']","[0.25, 0.5, 0.25, 0.25, 1.0, 0.25, 0.25, 1.0, 0.25, 0.25, 1.0, 0.25, 0.25, 0.125, 1.0, 0.25, 0.25, 0.5, 1.0, 0.25, 0.25, 1.0, 0.25, 0.25, 0.5, 1.0, 0.25, 0.25, 0.5, 1.0, 0.25, 0.25, 0.5, 1.0, 0.25, 0.25, 1.0, 0.25, 0.25, 1.0, 0.25, 0.25, 0.125, 1.0, 0.25, 0.25, 0.5, 1.0, 0.25, 0.25, 0.5, 1.0, 0.25, 0.25, 0.5, 1.0, 1.0, 0.25, 0.25, 0.5, 0.25, 0.25, 1.0, 0.25, 0.25, 0.5, 0.25, 0.25, 1.0, 0.25, 0.25, 0.5, 0.25, 0.25, 1.0, 0.25, 0.25, 0.125, 1.0, 0.25, 0.25, 0.5, 0.25, 0.25, 1.0, 0.25, 0.25, 0.5, 0.25, 0.25, 1.0, 0.25, 0.25, 0.5, 0.25, 0.25, 1.0, 1.0, 0.25, 0.25, 0.5, 0.25, 0.25, 1.0, 0.25, 0.25, 0.5, 0.25, 0.25, 1.0, 0.25, 0.25, 0.5, 0.25, 0.25, 1.0, 0.25, 0.25, 0.125, 1.0, 0.25, 0.25, 0.5, 0.25, 0.25, 1.0, 0.25, 0.25, 0.5, 0.25, 0.25, 1.0, 0.25, 0.25, 0.5, 0.25, 0.25, 1.0, 0.25, 0.25, 0.5]"
