Wall time,Step,Value
1620101974.8182855,1,101.4561767578125
1620101977.5412705,2,31.939891815185547
1620101980.3491511,3,24.497278213500977
1620101983.1248937,4,22.332300186157227
1620101985.8677928,5,21.731727600097656
1620101988.6128573,6,21.525470733642578
1620101991.3526342,7,21.394786834716797
1620101993.8473895,8,21.34229278564453
1620101996.555688,9,21.320274353027344
1620101999.0806897,10,21.294580459594727
1620102001.789793,11,21.284934997558594
1620102004.3107035,12,21.28897476196289
1620102006.837093,13,21.261442184448242
1620102009.5518448,14,21.24431610107422
1620102012.2755954,15,21.235946655273438
1620102014.8076305,16,21.22060203552246
1620102017.3290813,17,21.206424713134766
1620102020.039834,18,21.202455520629883
1620102022.7830935,19,21.173799514770508
1620102025.3104737,20,21.177526473999023
1620102027.7908616,21,21.17628288269043
1620102030.3195176,22,21.159700393676758
1620102032.8193457,23,21.151775360107422
1620102035.304517,24,21.154010772705078
1620102038.0337095,25,21.130125045776367
1620102040.7762122,26,21.109760284423828
1620102043.283013,27,21.119922637939453
1620102045.7860055,28,21.100934982299805
1620102048.3112998,29,21.09210968017578
1620102051.046607,30,21.082366943359375
1620102053.5839577,31,21.084753036499023
1620102056.2949734,32,21.079402923583984
1620102058.8188012,33,21.066699981689453
1620102061.3228166,34,21.053991317749023
1620102064.049456,35,21.04059600830078
1620102066.5995395,36,21.042367935180664
1620102069.0787568,37,21.030582427978516
1620102071.5674512,38,21.028032302856445
1620102074.0782733,39,21.025341033935547
1620102076.7730525,40,21.021211624145508
1620102079.2908134,41,21.009065628051758
1620102081.798358,42,21.009071350097656
1620102084.5132997,43,21.003116607666016
1620102087.0416794,44,21.00316047668457
1620102089.7733455,45,20.98350715637207
1620102092.264454,46,20.9908504486084
1620102094.754876,47,20.98218536376953
1620102097.2618442,48,20.976787567138672
1620102099.7597387,49,20.974632263183594
1620102102.2420447,50,20.968402862548828
1620102104.7347057,51,20.972557067871094
1620102107.2431104,52,20.97799301147461
1620102109.998788,53,20.964757919311523
1620102112.5173,54,20.96489906311035
1620102115.0214996,55,20.95539093017578
1620102117.52611,56,20.95090675354004
1620102120.0117993,57,20.94257354736328
1620102122.5294726,58,20.951074600219727
1620102125.0585797,59,20.948970794677734
1620102127.605033,60,20.940093994140625
1620102130.107687,61,20.936365127563477
1620102132.619761,62,20.929475784301758
1620102135.1145754,63,20.924606323242188
1620102137.8454223,64,20.92767906188965
1620102140.3513806,65,20.92279624938965
1620102142.8612528,66,20.927532196044922
1620102145.3359013,67,20.93058967590332
1620102148.0647542,68,20.92723274230957
1620102150.841152,69,20.923784255981445
1620102153.4097428,70,20.923480987548828
1620102155.8874621,71,20.915760040283203
1620102158.369408,72,20.914567947387695
1620102161.0477037,73,20.91707420349121
1620102163.5657115,74,20.90402603149414
1620102166.0361822,75,20.910274505615234
1620102168.5466125,76,20.90147590637207
1620102171.0280826,77,20.908082962036133
1620102173.5196538,78,20.902070999145508
1620102176.0286942,79,20.910888671875
1620102178.4717522,80,20.895950317382812
1620102180.9366486,81,20.893482208251953
1620102183.410543,82,20.890954971313477
1620102185.8959641,83,20.89212989807129
1620102188.406407,84,20.892675399780273
1620102190.8910482,85,20.881366729736328
1620102193.3411598,86,20.883649826049805
1620102195.8210065,87,20.885234832763672
1620102198.313329,88,20.8857364654541
1620102200.8383121,89,20.88031578063965
1620102203.333265,90,20.876604080200195
1620102205.8158085,91,20.87953758239746
1620102208.5436773,92,20.88112449645996
1620102211.264919,93,20.871414184570312
1620102213.7800486,94,20.87103271484375
1620102216.2938895,95,20.8763370513916
1620102218.9836688,96,20.872671127319336
1620102221.5070138,97,20.86724090576172
1620102224.4777207,98,20.873899459838867
1620102227.1376584,99,20.864473342895508
1620102229.6227748,100,20.86514663696289
